label,rolloff,energy,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
Mwai_approve_original,2837.292082413383,436.74432373046875,-341.9545593261719,117.79095458984375,0.22461900115013123,40.040740966796875,2.6501190662384033,11.674495697021484,3.070582628250122,5.492223739624023,-5.267673015594482,2.316549777984619,0.47506946325302124,0.011620563454926014,-1.1543946266174316
Mwai_approve_pitch_shift,3235.1297129755435,213.0735321044922,-363.3002014160156,109.20600891113281,4.375545501708984,36.289093017578125,-0.9831370711326599,10.650209426879883,0.29262077808380127,0.5493565201759338,-5.615311145782471,4.522573947906494,-2.6504271030426025,-0.5241732597351074,-3.2615418434143066
Mwai_approve_time_stretch,2894.3158318014707,161.38406372070312,-373.6305236816406,120.10929870605469,-2.7389516830444336,43.405792236328125,1.1018229722976685,13.08761978149414,2.501979112625122,4.720119476318359,-6.255250453948975,2.69380784034729,-0.18043936789035797,0.020149579271674156,-1.1544069051742554
Mwai_approve_noise,7165.87550951087,438.9058389037765,-234.67645181613906,47.75804292074199,13.057878229140794,22.33019839797837,8.438061394098598,8.831641255867126,6.217041445110097,3.1519999768137112,-0.7860797565449353,0.5586574238529738,1.803608632675841,1.3069001602059558,-0.6492481734347786
Mitali_approve_original,4063.3711190059266,169.55674743652344,-415.75311279296875,86.80339050292969,32.896583557128906,19.432859420776367,2.040283679962158,3.7098357677459717,-6.634186744689941,-4.547128200531006,-10.213208198547363,4.719666957855225,-2.6713337898254395,-4.458247661590576,0.23711547255516052
Mitali_approve_pitch_shift,4320.841401198814,83.27763366699219,-433.9455261230469,84.21068572998047,29.852994918823242,14.912158012390137,-1.3622403144836426,-0.03195447847247124,-9.607531547546387,-7.357232093811035,-7.32550573348999,4.880544185638428,-9.009317398071289,0.9556031823158264,-1.902276873588562
Mitali_approve_time_stretch,4201.971498469717,65.78093719482422,-430.89154052734375,79.91433715820312,29.173095703125,19.954620361328125,1.879825234413147,5.247500419616699,-6.311877250671387,-4.837434768676758,-11.363207817077637,3.4122097492218018,-3.651601552963257,-5.233979225158691,-0.07784437388181686
Mitali_approve_noise,8112.727092874461,170.9795746660939,-263.29852513526237,31.122252001037342,17.75435249909227,13.00598221876523,3.3123301425761547,2.13369528947371,-3.175709041156563,-3.7525878482302097,-4.242280281320301,0.4298936493261886,-1.8968382306233356,-2.1760703675689186,0.38279347096879673
Liliane_approve_original,3777.665135117828,47.550472259521484,-440.9791564941406,108.78938293457031,22.123876571655273,13.249215126037598,-13.133818626403809,5.542674541473389,-18.972393035888672,4.429598331451416,-17.138898849487305,-8.733735084533691,-5.780274391174316,0.017637217417359352,-4.6127824783325195
Liliane_approve_pitch_shift,4069.069383965164,21.51136589050293,-461.4615783691406,105.79400634765625,21.537755966186523,-0.856682300567627,-11.515849113464355,-1.1429338455200195,-17.295827865600586,0.5981256365776062,-21.59524154663086,-2.8311824798583984,-4.289702415466309,-0.868708074092865,-9.360621452331543
Liliane_approve_time_stretch,3581.900562959559,24.14555549621582,-464.2749328613281,112.22164154052734,25.139760971069336,10.429265975952148,-14.326030731201172,5.500711917877197,-18.750415802001953,5.089303016662598,-17.21826934814453,-10.382341384887695,-4.071844100952148,0.012414305470883846,-4.386283874511719
Liliane_approve_noise,7990.053871029713,48.34722809634649,-279.38114572304363,29.86252165912688,19.95061922373394,4.663523028363563,-4.478292262106021,-0.562469601397619,-6.9959900087666265,-4.342311613549607,-8.712138492325236,-7.519471247126046,-3.2533964612663677,-2.9000056280433015,-2.4724567594206954
Blessing_approve_original,3983.5698308171454,229.67454528808594,-398.21087646484375,95.21299743652344,4.191928386688232,22.449155807495117,1.2390514612197876,6.886109352111816,-7.008591175079346,-0.499215304851532,-6.157566070556641,3.657737970352173,-4.762388706207275,-2.3712010383605957,-3.6180386543273926
Blessing_approve_pitch_shift,4386.517169024493,96.6124038696289,-424.2533264160156,92.57107543945312,4.8025031089782715,19.79659080505371,-0.7300680875778198,2.402683973312378,-8.082308769226074,-1.5857044458389282,-3.3827877044677734,1.8180100917816162,-8.331599235534668,-1.3823115825653076,-2.3526504039764404
